Course, Title, Prereqs
COMPSCI   178,MACHINE/DATA MINING,I&C; SCI         6B     AND I&C; SCI         6D     AND (  I&C; SCI         6N      OR  MATH        6G      OR  MATH        3A      ) AND (  MATH        2B      OR AP CALCULUS BC       ( min score = 4   ) OR AP CALCULUS AB SUB   ( min score = 4   ) ) AND (  STATS       67       OR  STATS        7       OR AP STATISTICS        ( min score = 3   ) ) AND (  STATS       67       OR  STATS      120A      )
COMPSCI   112,COMPUTER GRAPHICS,(  I&C; SCI        22       ( min grade = C   ) OR  CSE       22       ( min grade = C   ) OR  I&C; SCI       H22       ( min grade = C   ) OR  I&C; SCI        33       ( min grade = C   ) OR  CSE       43       ( min grade = C   ) OR AP COMP SCI AB       ( min score = 4   ) ) AND (  I&C; SCI        45C      ( min grade = C   ) OR  CSE       45C      ( min grade = C   ) ) AND (  MATH        6G      ( min grade = C   ) OR  MATH        3A      ( min grade = C   ) OR  I&C; SCI         6N      ( min grade = C   ) )
COMPSCI   116,COMP PHOTO & VISION,I&C; SCI         6D      ( min grade = C   ) AND (  MATH        6G      ( min grade = C   ) OR  MATH        3A      ( min grade = C   ) OR  I&C; SCI         6N      ( min grade = C   ) ) AND (  MATH        2B      ( min grade = C   ) OR AP CALCULUS BC       ( min score = 4   ) OR AP CALCULUS AB SUB   ( min score = 4   ) ) AND (  I&C; SCI        23       ( min grade = C   ) OR  I&C; SCI       H23       ( min grade = C   ) OR  CSE       23       ( min grade = C   ) OR  I&C; SCI        46       ( min grade = C   ) OR  CSE       46       ( min grade = C   ) )
COMPSCI   121,INFRMTION RETRIEVAL,(  I&C; SCI        45C      ( min grade = C   ) OR  CSE       45C      ( min grade = C   ) OR  I&C; SCI        45J      ( min grade = C   ) ) AND (  STATS        7       OR AP STATISTICS        ( min score = 3   ) OR  STATS       67       )
COMPSCI  122A,INTRO TO DATA MGMT,(  I&C; SCI        33       ( min grade = C   ) OR  CSE       43       ( min grade = C   ) OR  EECS      114       )
COMPSCI  122B,PROJ DATA&WEB; APPS,(  COMPSCI       122A      OR  EECS      116       ) AND I&C; SCI        45J
COMPSCI   125,NXT GEN SRCH SYSTMS,(  I&C; SCI        21       OR  CSE       21       OR  I&C; SCI        31       OR  CSE       41       OR  IN4MATX        41       OR AP COMP SCI A        ( min score = 3   ) OR AP COMP SCI AB       ( min score = 3   ) ) ANDUPPER DIVISION STANDING ONLY
COMPSCI   132,COMPUTER NETWORKS,(  EECS       55       OR  STATS       67       )
COMPSCI   133,ADV COMPUTER NETWKS,COMPSCI       132
COMPSCI   134,COMP&NETWRK; SECURTY,I&C; SCI         6D     AND (  I&C; SCI        22       OR  CSE       22       OR  I&C; SCI       H22       OR  I&C; SCI        33       OR  CSE       43       OR  IN4MATX        42       OR AP COMP SCI AB       ( min score = 4   ) ) AND (  COMPSCI       122A      OR  EECS      116       OR  COMPSCI       132       OR  COMPSCI       143A      OR  CSE      104       )
